"Name","Location","Function Signature","Function Size"
"FUN_0040b306","0040b306","undefined4 FUN_0040b306(undefined4 param_1)","185"
"__onexit","0040b3ee","_onexit_t __onexit(_onexit_t _Func)","54"
"FUN_0040b424","0040b424","undefined FUN_0040b424(void)","6"
"_atexit","0040b42a","int _atexit(_func_4879 * param_1)","18"
"__copysign","0040b43c","double __copysign(double _Number\, double _Sign)","38"
"FUN_0040b462","0040b462","bool FUN_0040b462(undefined4 param_1\, undefined4 param_2)","21"
"__isnan","0040b477","int __isnan(double _X)","46"
"__fpclass","0040b4a5","int __fpclass(double _X)","148"
"__alloca_probe_16","0040b540","uint __alloca_probe_16(void)","22"
"__alloca_probe_8","0040b556","uint __alloca_probe_8(void)","22"
"_memcpy","0040b570","void * _memcpy(void * _Dst\, void * _Src\, size_t _Size)","711"
"FUN_0040b8d5","0040b8d5","undefined4 FUN_0040b8d5(int * param_1)","61"
"__amsg_exit","0040b920","void __amsg_exit(int param_1)","36"
"FUN_0040b944","0040b944","undefined FUN_0040b944(void)","38"
"___crtExitProcess","0040b96a","void ___crtExitProcess(int param_1)","20"
"FUN_0040b97f","0040b97f","undefined FUN_0040b97f(void)","9"
"FUN_0040b988","0040b988","undefined FUN_0040b988(void)","9"
"FUN_0040b991","0040b991","undefined FUN_0040b991(undefined4 * param_1)","24"
"__initterm_e","0040b9a9","undefined __initterm_e(undefined4 * param_1\, undefined4 * param_2)","32"
"__get_osplatform","0040b9c9","undefined4 __get_osplatform(int * param_1)","55"
"__get_winmajor","0040ba00","undefined4 __get_winmajor(undefined4 * param_1)","60"
"__cinit","0040ba3c","int __cinit(int param_1)","146"
"FUN_0040bace","0040bace","undefined FUN_0040bace(int param_1\, int param_2\, int param_3)","211"
"FUN_0040bb9b","0040bb9b","undefined FUN_0040bb9b(void)","15"
"_exit","0040bbb0","void _exit(int _Code)","17"
"__exit","0040bbc1","undefined __exit(int param_1)","17"
"__cexit","0040bbd2","void __cexit(void)","15"
"__init_pointers","0040bbf0","void __init_pointers(void)","76"
"FUN_0040bc3c","0040bc3c","undefined FUN_0040bc3c(int param_1)","399"
"__FF_MSGBANNER","0040bddc","void __FF_MSGBANNER(void)","57"
"FUN_0040be15","0040be15","undefined4 FUN_0040be15(int param_1\, DWORD param_2)","350"
"__wincmdln","0040bf73","byte * __wincmdln(void)","93"
"__setenvp","0040bfd0","int __setenvp(void)","216"
"parse_cmdline","0040c0ab","undefined parse_cmdline(undefined4 * param_1\, byte * param_2\, int * param_3)","408"
"__setargv","0040c243","int __setargv(void)","185"
"___crtGetEnvironmentStringsA","0040c2fc","LPVOID ___crtGetEnvironmentStringsA(void)","309"
"__ioinit","0040c431","int __ioinit(void)","562"
"__RTC_Initialize","0040c671","undefined __RTC_Initialize(void)","36"
"FUN_0040c6b9","0040c6b9","undefined4 FUN_0040c6b9(void)","108"
"FUN_0040c725","0040c725","undefined4 FUN_0040c725(undefined4 param_1)","110"
"__encoded_null","0040c793","undefined __encoded_null(void)","9"
