address,ghidra_name,friendly_name,category,signature,calling_convention,size,status,confidence,danger_level,description,evidence,source,test_notes,hit_count,last_test
0x007693BA,__lseek,__lseek,Unknown,"long __lseek(int _FileHandle\, long _Offset\, int _Origin)",,210,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076948C,FUN_0076948c,,Unknown,undefined FUN_0076948c(void),,10,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769496,__setmode_nolock,__setmode_nolock,Unknown,"int __setmode_nolock(int _FileHandle\, int _Mode)",,188,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769552,FUN_00769552,,Unknown,undefined4 FUN_00769552(undefined4 * param_1),,52,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769586,FUN_00769586,,Unknown,undefined FUN_00769586(void),,62,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x007695C5,FUN_007695c5,,Unknown,undefined FUN_007695c5(void),,62,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769604,FUN_00769604,,Unknown,undefined FUN_00769604(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769629,FUN_00769629,,Unknown,undefined FUN_00769629(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076964E,FUN_0076964e,,Unknown,undefined FUN_0076964e(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769673,FUN_00769673,,Unknown,undefined FUN_00769673(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769698,FUN_00769698,,Unknown,undefined FUN_00769698(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x007696BD,FUN_007696bd,,Unknown,undefined FUN_007696bd(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x007696E2,FUN_007696e2,,Unknown,undefined FUN_007696e2(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769707,FUN_00769707,,Unknown,undefined FUN_00769707(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076972C,FUN_0076972c,,Unknown,undefined FUN_0076972c(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769751,FUN_00769751,,Unknown,undefined FUN_00769751(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00769776,FUN_00769776,,Unknown,undefined FUN_00769776(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076979B,FUN_0076979b,,Unknown,undefined FUN_0076979b(void),,37,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
